,image_id,image_path,concepts,model-generated_caption,human-label_caption,activity
0,u1_20180503_0617_i01,2018_05_03/B00001382_21I6X0_20180503_072333E.JPG,electronic device/technology/electronics/furniture/gadget/angle/flooring,a person holding a device,person holding QWERTY phone,Using a computer
1,u1_20180503_0618_i00,2018_05_03/B00001384_21I6X0_20180503_072436E.JPG,technology/electronics/electronic device/auto part/machine,a person using a machine,person standing in front of mirror,Cooking
2,u1_20180503_0619_i00,2018_05_03/B00001387_21I6X0_20180503_072550E.JPG,product,a person holding a bag of chips,person holding Beshoffs pack,Cooking
3,u1_20180503_0619_i03,2018_05_03/B00001388_21I6X0_20180503_072550E.JPG,,a person holding a bag of chips,person holding Beshoffs pack,Cooking
4,u1_20180503_0619_i05,2018_05_03/B00001389_21I6X0_20180503_072550E.JPG,product,a person holding a bag of food,person holding Beshoffs pack,Cooking
5,u1_20180503_0619_i04,2018_05_03/B00001390_21I6X0_20180503_072551E.JPG,,a person holding a bag of chips,person holding Beshoffs pack,Cooking
6,u1_20180503_0619_i08,2018_05_03/B00001392_21I6X0_20180503_072551E.JPG,property/room/interior design/window/glass/window treatment/window covering/curtain/mirror/house,a kitchen with a sink and a window,white concrete kitchen room near window,Cooking
7,u1_20180503_0619_i07,2018_05_03/B00001393_21I6X0_20180503_072551E.JPG,finger/material/angle/glass,a person holding a spoon,person holding knife,Cooking
8,u1_20180503_0619_i09,2018_05_03/B00001394_21I6X0_20180503_072552E.JPG,floor/flooring,a hand holding a plastic bag over a table with a lamp and a lamp,person holding Beshoffs pack,Cooking
9,u1_20180503_0619_i06,2018_05_03/B00001395_21I6X0_20180503_072552E.JPG,property/room/ceiling/real estate/floor/home/living room/house/interior design/window,a hand holding a paper airplane,person holding knife and clear pack,Cooking
10,u1_20180503_0619_i01,2018_05_03/B00001396_21I6X0_20180503_072559E.JPG,property/room/ceiling/real estate/interior design/living room/home/daylighting/window/house,a room with a table and chairs,white candle holder on brown surface,Cooking
11,u1_20180503_0620_i00,2018_05_03/B00001397_21I6X0_20180503_072621E.JPG,room/table/interior design/furniture,a room with a table and a glass table with objects on it,two white candle holders on black wooden table,Cooking
12,u1_20180503_0620_i01,2018_05_03/B00001398_21I6X0_20180503_072644E.JPG,property/room/interior design/kitchen/ceiling/window/home/loft/house/daylighting,a kitchen with a window,kitchen island near window,Cooking
13,u1_20180503_0621_i02,2018_05_03/B00001399_21I6X0_20180503_072707E.JPG,property/room/interior design/real estate/floor/living room/furniture,a room with a table and chairs,person holding table knife,Cooking
14,u1_20180503_0621_i00,2018_05_03/B00001400_21I6X0_20180503_072729E.JPG,room/property/home/interior design/window/real estate/table/living room/furniture/food,a table with food and a bag of chips,white milk box on table,Cooking
15,u1_20180503_0621_i01,2018_05_03/B00001401_21I6X0_20180503_072751E.JPG,property/room/real estate/interior design/living room/home/house/furniture/apartment/loft,a person's hand holding a knife in a room with a table and chairs,white and blue carton beside bag,Cooking
16,u1_20180503_0622_i01,2018_05_03/B00001403_21I6X0_20180503_072836E.JPG,cookware and bakeware/cuisine,a chef cooking in a kitchen,man holding tomato and nonstick pan,Cooking
17,u1_20180503_0624_i00,2018_05_03/B00001408_21I6X0_20180503_073033E.JPG,countertop/kitchen/property/room/interior design/cabinetry/home appliance/kitchen appliance/cuisine classique/house,a kitchen with a stove and oven,black and grey commercial oven at the kitchen,Cooking
18,u1_20180503_0625_i00,2018_05_03/B00001411_21I6X0_20180503_073141E.JPG,cookware and bakeware/food/restaurant/interior design,a chef cooking in a restaurant,person standing in front of cooking pots,Cooking
19,u1_20180503_0626_i00,2018_05_03/B00001413_21I6X0_20180503_073226E.JPG,food/cook/cookware and bakeware/cuisine/cooking/restaurant/wok/service,a person cooking in a restaurant,silver electric kettle,Cooking
